"","unlistNoticias","Freq"
"1","",4
"2","a",5
"3","accesorios",1
"4","acontecimientos",1
"5","aficionado",1
"6","astrónomo",1
"7","avistamientos",2
"8","bolas",1
"9","calculallegaremos",1
"10","como",1
"11","continuarán",1
"12","crecen",1
"13","crítico",1
"14","cuales",1
"15","dada",1
"16","de",5
"17","desde",1
"18","detectado",1
"19","dicen",2
"20","dieron",1
"21","diferentes",2
"22","disfrutar",1
"23","ellos",1
"24","ennorteamerica",1
"25","entre",1
"26","estados",1
"27","este",1
"28","estos",2
"29","europa",1
"30","evento",1
"31","evidencia",1
"32","expertos",2
"33","finalmente",1
"34","fuego",1
"35","geométricamentese",1
"36","han",2
"37","histórica",1
"38","impacten",1
"39","la",1
"40","largo",1
"41","lo",2
"42","los",5
"43","mejores",1
"44","no",1
"45","otro",1
"46","pack",1
"47","para",3
"48","precauciones",1
"49","precios",2
"50","prevee",1
"51","principalmente",1
"52","punto",1
"53","que",3
"54","quiere",1
"55","recientemente",1
"56","recomendaciónes",1
"57","recomiendan",2
"58","recopilado",1
"59","ritmo",1
"60","se",3
"61","ser",1
"62","si",1
"63","son",2
"64","sus",1
"65","tiendas",1
"66","tipos",1
"67","tomar",1
"68","un",3
"69","unidos",1
"70","usted",1
"71","variados",1
"72","ver",1
"73","volver",1
"74","y",1
